topic #,topic tag
1,god-stories-mother-father-book-felt
2,music-sound-ends-song-musical-piece
3,women-men-girls-woman-sex-gender
4,cancer-cells-patients-disease-patient-cell
5,africa-countries-dollars-business-india-growth
6,universe-earth-planets-mars-planet-stars
7,brain-neurons-brains-cells-cortex-activity
8,city-cities-cars-urban-car-buildings
9,design-designers-art-architecture-materials-designed
10,ocean-species-animals-fish-sea-food
11,war-government-political-democracy-rights-violence
12,robot-robots-machines-legs-machine-robotic
13,students-education-teachers-learning-teacher-schools
14,computer-internet-video-machine-web-digital
